passengers,year,month,timestamp,trend,month__1,month__2,month__3,month__4,month__5,month__6,month__7,month__8,month__9,month__10,month__11,month__12,seasonal,trend_seasonal,remainder,noise,lag1
64,1949,1,0,79.44429254955566,1,0,0,0,0,0,0,0,0,0,0,0,198.99999999999997,59.59469696969691,4.405303030303088,-0.11035641404442563,
75,1949,2,1,81.76193693811206,0,1,0,0,0,0,0,0,0,0,0,0,196.90909090909088,57.50378787878789,17.49621212121211,10.73553843218578,4.405303030303088
98,1949,3,2,84.07958132666846,0,0,1,0,0,0,0,0,0,0,0,0,229.90909090909088,90.50378787878788,7.496212121212125,5.75612374120706,17.49621212121211
93,1949,4,3,86.39722571522486,0,0,0,1,0,0,0,0,0,0,0,0,222.8181818181818,83.41287878787877,9.587121212121232,-7.941003456150452,7.496212121212125
80,1949,5,4,88.71487010378127,0,0,0,0,1,0,0,0,0,0,0,0,224.63636363636365,85.23106060606062,-5.231060606060623,10.599310011206896,9.587121212121232
103,1949,6,5,91.03251449233767,0,0,0,0,0,1,0,0,0,0,0,0,255.18181818181816,115.77651515151518,-12.776515151515184,6.546536540220225,-5.231060606060623
122,1949,7,6,93.35015888089407,0,0,0,0,0,0,1,0,0,0,0,0,280.8181818181818,141.4128787878788,-19.41287878787881,-1.576632233448513,-12.776515151515184
122,1949,8,7,95.66780326945047,0,0,0,0,0,0,0,1,0,0,0,0,281.72727272727275,142.3219696969697,-20.32196969696969,-2.1982047612191584,-19.41287878787881
104,1949,9,8,97.98544765800688,0,0,0,0,0,0,0,0,1,0,0,0,250.72727272727275,111.32196969696969,-7.321969696969688,19.349927678569763,-20.32196969696969
77,1949,10,9,100.30309204656328,0,0,0,0,0,0,0,0,0,1,0,0,221.0909090909091,81.68560606060608,-4.6856060606060765,4.849068988010179,-7.321969696969688
50,1949,11,10,102.62073643511968,0,0,0,0,0,0,0,0,0,0,1,0,192.1818181818182,52.776515151515156,-2.776515151515156,23.00140336869422,-4.6856060606060765
75,1949,12,11,104.93838082367608,0,0,0,0,0,0,0,0,0,0,0,1,220.0,80.59469696969694,-5.59469696969694,-1.0783407623123966,-2.776515151515156
70,1950,1,12,107.25602521223249,1,0,0,0,0,0,0,0,0,0,0,0,198.99999999999997,87.47575757575753,-17.475757575757527,-1.5600242224764227,-5.59469696969694
