timestamp,checkout,dairy,drinks,fruit,spices,sum
2019-09-02 07:03:00,0.0,2.0,0.0,0.0,0.0,2.0
2019-09-02 07:04:00,0.0,2.0,0.0,1.0,3.0,6.0
2019-09-02 07:05:00,2.0,1.0,1.0,0.0,0.0,4.0
2019-09-02 07:06:00,2.0,2.0,1.0,2.0,1.0,8.0
2019-09-02 07:07:00,1.0,1.0,1.0,0.0,1.0,4.0
2019-09-02 07:08:00,3.0,0.0,0.0,1.0,0.0,4.0
2019-09-02 07:09:00,1.0,0.0,0.0,0.0,2.0,3.0
2019-09-02 07:10:00,1.0,0.0,0.0,0.0,0.0,1.0
2019-09-02 07:11:00,1.0,0.0,0.0,2.0,0.0,3.0
2019-09-02 07:12:00,1.0,0.0,1.0,2.0,1.0,5.0
2019-09-02 07:13:00,2.0,0.0,2.0,1.0,1.0,6.0
2019-09-02 07:14:00,1.0,2.0,1.0,1.0,0.0,5.0
2019-09-02 07:15:00,1.0,1.0,0.0,1.0,1.0,4.0
2019-09-02 07:16:00,2.0,0.0,2.0,1.0,2.0,7.0
2019-09-02 07:17:00,2.0,1.0,1.0,1.0,4.0,9.0
2019-09-02 07:18:00,2.0,1.0,3.0,0.0,1.0,7.0
2019-09-02 07:19:00,1.0,1.0,2.0,1.0,0.0,5.0
2019-09-02 07:20:00,3.0,4.0,0.0,0.0,0.0,7.0
2019-09-02 07:21:00,1.0,0.0,0.0,1.0,0.0,2.0
2019-09-02 07:22:00,3.0,0.0,0.0,2.0,1.0,6.0
2019-09-02 07:23:00,1.0,1.0,0.0,0.0,0.0,2.0
2019-09-02 07:24:00,1.0,0.0,1.0,0.0,0.0,2.0
2019-09-02 07:25:00,0.0,0.0,0.0,0.0,2.0,2.0
2019-09-02 07:26:00,1.0,5.0,1.0,4.0,2.0,13.0
2019-09-02 07:27:00,4.0,2.0,3.0,0.0,2.0,11.0
2019-09-02 07:28:00,2.0,1.0,0.0,3.0,1.0,7.0
2019-09-02 07:29:00,2.0,0.0,2.0,1.0,1.0,6.0
2019-09-02 07:30:00,1.0,1.0,2.0,3.0,3.0,10.0
2019-09-02 07:31:00,1.0,2.0,1.0,0.0,2.0,6.0
2019-09-02 07:32:00,3.0,2.0,0.0,1.0,0.0,6.0
2019-09-02 07:33:00,4.0,2.0,0.0,2.0,2.0,10.0
2019-09-02 07:34:00,0.0,0.0,1.0,1.0,1.0,3.0
2019-09-02 07:35:00,1.0,0.0,4.0,0.0,0.0,5.0
2019-09-02 07:36:00,2.0,1.0,1.0,0.0,0.0,4.0
2019-09-02 07:37:00,1.0,0.0,0.0,1.0,0.0,2.0
2019-09-02 07:38:00,1.0,0.0,0.0,1.0,0.0,2.0
2019-09-02 07:39:00,2.0,0.0,0.0,1.0,1.0,4.0
2019-09-02 07:40:00,1.0,0.0,3.0,0.0,1.0,5.0
2019-09-02 07:41:00,1.0,1.0,0.0,1.0,0.0,3.0
2019-09-02 07:42:00,0.0,1.0,0.0,2.0,2.0,5.0
2019-09-02 07:43:00,2.0,3.0,2.0,0.0,3.0,10.0
2019-09-02 07:44:00,2.0,2.0,2.0,3.0,2.0,11.0
2019-09-02 07:45:00,1.0,1.0,3.0,1.0,1.0,7.0
2019-09-02 07:46:00,1.0,1.0,2.0,0.0,0.0,4.0
2019-09-02 07:47:00,3.0,1.0,2.0,1.0,1.0,8.0
2019-09-02 07:48:00,3.0,1.0,3.0,3.0,0.0,10.0
2019-09-02 07:49:00,2.0,2.0,2.0,0.0,3.0,9.0
2019-09-02 07:50:00,5.0,0.0,3.0,0.0,1.0,9.0
2019-09-02 07:51:00,2.0,0.0,0.0,0.0,1.0,3.0
2019-09-02 07:52:00,4.0,2.0,1.0,1.0,0.0,8.0
2019-09-02 07:53:00,1.0,2.0,2.0,1.0,1.0,7.0
2019-09-02 07:54:00,3.0,1.0,0.0,1.0,1.0,6.0
2019-09-02 07:55:00,1.0,2.0,0.0,0.0,0.0,3.0
2019-09-02 07:56:00,0.0,4.0,1.0,1.0,0.0,6.0
2019-09-02 07:57:00,2.0,0.0,1.0,2.0,0.0,5.0
2019-09-02 07:58:00,0.0,0.0,1.0,1.0,0.0,2.0
2019-09-02 07:59:00,1.0,0.0,1.0,1.0,0.0,3.0
2019-09-02 08:00:00,2.0,0.0,0.0,0.0,1.0,3.0
2019-09-02 08:01:00,2.0,0.0,2.0,0.0,1.0,5.0
2019-09-02 08:02:00,2.0,1.0,0.0,2.0,1.0,6.0
2019-09-02 08:03:00,3.0,2.0,1.0,1.0,0.0,7.0
2019-09-02 08:04:00,0.0,0.0,1.0,0.0,1.0,2.0
2019-09-02 08:05:00,0.0,2.0,0.0,0.0,2.0,4.0
2019-09-02 08:06:00,1.0,2.0,3.0,2.0,0.0,8.0
2019-09-02 08:07:00,2.0,1.0,1.0,2.0,0.0,6.0
2019-09-02 08:08:00,2.0,1.0,1.0,0.0,1.0,5.0
2019-09-02 08:09:00,0.0,0.0,2.0,1.0,0.0,3.0
2019-09-02 08:10:00,0.0,1.0,1.0,1.0,0.0,3.0
2019-09-02 08:11:00,3.0,2.0,0.0,0.0,2.0,7.0
2019-09-02 08:12:00,2.0,1.0,0.0,0.0,1.0,4.0
2019-09-02 08:13:00,1.0,1.0,1.0,0.0,0.0,3.0
2019-09-02 08:14:00,1.0,1.0,0.0,3.0,0.0,5.0
2019-09-02 08:15:00,2.0,0.0,0.0,1.0,0.0,3.0
2019-09-02 08:16:00,3.0,0.0,3.0,1.0,2.0,9.0
2019-09-02 08:17:00,3.0,1.0,0.0,1.0,0.0,5.0
2019-09-02 08:18:00,2.0,0.0,0.0,0.0,2.0,4.0
2019-09-02 08:19:00,2.0,0.0,0.0,0.0,0.0,2.0
2019-09-02 08:20:00,0.0,1.0,0.0,0.0,0.0,1.0
2019-09-02 08:21:00,2.0,0.0,0.0,1.0,0.0,3.0
2019-09-02 08:22:00,2.0,4.0,1.0,3.0,0.0,10.0
2019-09-02 08:23:00,1.0,3.0,0.0,1.0,0.0,5.0
2019-09-02 08:24:00,1.0,0.0,0.0,0.0,1.0,2.0
2019-09-02 08:25:00,3.0,0.0,2.0,0.0,0.0,5.0
2019-09-02 08:26:00,3.0,1.0,4.0,0.0,0.0,8.0
2019-09-02 08:27:00,2.0,0.0,0.0,1.0,0.0,3.0
2019-09-02 08:28:00,1.0,1.0,1.0,0.0,3.0,6.0
2019-09-02 08:29:00,1.0,2.0,1.0,1.0,0.0,5.0
2019-09-02 08:30:00,2.0,0.0,0.0,1.0,0.0,3.0
2019-09-02 08:31:00,0.0,2.0,1.0,1.0,3.0,7.0
2019-09-02 08:32:00,2.0,0.0,0.0,2.0,1.0,5.0
2019-09-02 08:33:00,4.0,0.0,2.0,1.0,3.0,10.0
2019-09-02 08:34:00,0.0,1.0,4.0,3.0,1.0,9.0
2019-09-02 08:35:00,1.0,1.0,3.0,2.0,2.0,9.0
2019-09-02 08:36:00,1.0,3.0,2.0,0.0,0.0,6.0
2019-09-02 08:37:00,0.0,1.0,0.0,1.0,2.0,4.0
2019-09-02 08:38:00,3.0,1.0,1.0,1.0,1.0,7.0
2019-09-02 08:39:00,1.0,1.0,2.0,1.0,0.0,5.0
2019-09-02 08:40:00,1.0,0.0,2.0,2.0,2.0,7.0
2019-09-02 08:41:00,2.0,2.0,3.0,0.0,2.0,9.0
2019-09-02 08:42:00,1.0,1.0,2.0,1.0,2.0,7.0
2019-09-02 08:43:00,1.0,1.0,1.0,6.0,1.0,10.0
2019-09-02 08:44:00,6.0,1.0,2.0,0.0,2.0,11.0
2019-09-02 08:45:00,4.0,1.0,1.0,2.0,2.0,10.0
2019-09-02 08:46:00,2.0,6.0,3.0,1.0,1.0,13.0
2019-09-02 08:47:00,2.0,2.0,0.0,2.0,2.0,8.0
2019-09-02 08:48:00,1.0,3.0,3.0,1.0,2.0,10.0
2019-09-02 08:49:00,2.0,1.0,1.0,0.0,0.0,4.0
2019-09-02 08:50:00,7.0,2.0,0.0,1.0,0.0,10.0
2019-09-02 08:51:00,2.0,0.0,1.0,6.0,1.0,10.0
2019-09-02 08:52:00,1.0,1.0,0.0,1.0,0.0,3.0
2019-09-02 08:53:00,2.0,0.0,1.0,1.0,0.0,4.0
2019-09-02 08:54:00,3.0,0.0,0.0,0.0,1.0,4.0
2019-09-02 08:55:00,1.0,3.0,1.0,3.0,2.0,10.0
2019-09-02 08:56:00,2.0,2.0,1.0,2.0,0.0,7.0
2019-09-02 08:57:00,5.0,0.0,1.0,1.0,0.0,7.0
2019-09-02 08:58:00,2.0,4.0,2.0,1.0,0.0,9.0
2019-09-02 08:59:00,2.0,0.0,0.0,2.0,0.0,4.0
