,species,island,stage,date_egg,body_mass,sex,penguin_id
100,Adelie,Biscoe,"Adult,1 Eggs",2009-11-09,3725.0,FEMALE,N47A1
101,Adelie,Biscoe,"Adult,2 Eggs",2009-11-09,4725.0,MALE,N47A2
102,Adelie,Biscoe,"Adult,2 Eggs",2009-11-15,3075.0,FEMALE,N49A1
103,Adelie,Biscoe,"Adult,2 Eggs",2009-11-15,4250.0,MALE,N49A2
104,Adelie,Biscoe,"Adult,2 Eggs",2009-11-15,2925.0,FEMALE,N51A1
105,Adelie,Biscoe,"Adult,3 Eggs",2009-11-15,3550.0,MALE,N51A2
106,Adelie,Biscoe,"Adult,2 Eggs",2009-11-15,3750.0,FEMALE,N53A1
107,Adelie,Biscoe,"Adult,1 Eggs",2009-11-15,3900.0,MALE,N53A2
108,Adelie,Biscoe,"Adult,2 Eggs",2009-11-20,3175.0,FEMALE,N55A1
109,Adelie,Biscoe,"Adult,1 Eggs",2009-11-20,4775.0,MALE,N55A2
110,Adelie,Biscoe,"Adult,2 Eggs",2009-11-12,3825.0,FEMALE,N58A1
111,Adelie,Biscoe,"Adult,1 Eggs",2009-11-12,4600.0,MALE,N58A2
112,Adelie,Biscoe,"Adult,2 Eggs",2009-11-15,3200.0,FEMALE,N60A1
113,Adelie,Biscoe,"Adult,2 Eggs",2009-11-15,4275.0,MALE,N60A2
114,Adelie,Biscoe,"Adult,2 Eggs",2009-11-17,3900.0,FEMALE,N61A1
115,Adelie,Biscoe,"Adult,2 Eggs",2009-11-17,4075.0,MALE,N61A2
116,Adelie,Torgersen,"Adult,2 Eggs",2009-11-18,2900.0,FEMALE,N63A1
117,Adelie,Torgersen,"Adult,1 Eggs",2009-11-18,3775.0,MALE,N63A2
118,Adelie,Torgersen,"Adult,2 Eggs",2009-11-22,3350.0,FEMALE,N64A1
119,Adelie,Torgersen,"Adult,2 Eggs",2009-11-22,3325.0,MALE,N64A2
120,Adelie,Torgersen,"Adult,2 Eggs",2009-11-17,3150.0,FEMALE,N66A1
121,Adelie,Torgersen,"Adult,2 Eggs",2009-11-17,3500.0,MALE,N66A2
122,Adelie,Torgersen,"Adult,2 Eggs",2009-11-16,3450.0,FEMALE,N67A1
123,Adelie,Torgersen,"Adult,1 Eggs",2009-11-16,3875.0,MALE,N67A2
124,Adelie,Torgersen,"Adult,2 Eggs",2009-11-18,3050.0,FEMALE,N69A1
125,Adelie,Torgersen,"Adult,2 Eggs",2009-11-18,4000.0,MALE,N69A2
126,Adelie,Torgersen,"Adult,3 Eggs",2009-11-21,3275.0,FEMALE,N71A1
127,Adelie,Torgersen,"Adult,2 Eggs",2009-11-21,4300.0,MALE,N71A2
128,Adelie,Torgersen,"Adult,1 Eggs",2009-11-18,3050.0,FEMALE,N72A1
129,Adelie,Torgersen,"Adult,3 Eggs",2009-11-18,4000.0,MALE,N72A2
130,Adelie,Torgersen,"Adult,1 Eggs",2009-11-23,3325.0,FEMALE,N73A1
131,Adelie,Torgersen,"Adult,2 Eggs",2009-11-23,3500.0,MALE,N73A2
132,Adelie,Dream,"Adult,1 Eggs",2009-11-10,3500.0,FEMALE,N76A1
133,Adelie,Dream,"Adult,2 Eggs",2009-11-10,4475.0,MALE,N76A2
134,Adelie,Dream,"Adult,2 Eggs",2009-11-13,3425.0,FEMALE,N77A1
135,Adelie,Dream,"Adult,1 Eggs",2009-11-13,3900.0,MALE,N77A2
136,Adelie,Dream,"Adult,2 Eggs",2009-11-16,3175.0,FEMALE,N78A1
137,Adelie,Dream,"Adult,2 Eggs",2009-11-16,3975.0,MALE,N78A2
138,Adelie,Dream,"Adult,2 Eggs",2009-11-16,3400.0,FEMALE,N79A1
139,Adelie,Dream,"Adult,3 Eggs",2009-11-16,4250.0,MALE,N79A2
140,Adelie,Dream,"Adult,2 Eggs",2009-11-14,3400.0,FEMALE,N80A1
141,Adelie,Dream,"Adult,2 Eggs",2009-11-14,3475.0,MALE,N80A2
142,Adelie,Dream,"Adult,2 Eggs",2009-11-16,3050.0,FEMALE,N81A1
143,Adelie,Dream,"Adult,2 Eggs",2009-11-16,3725.0,MALE,N81A2
144,Adelie,Dream,"Adult,2 Eggs",2009-11-16,3000.0,FEMALE,N82A1
145,Adelie,Dream,"Adult,2 Eggs",2009-11-16,3650.0,MALE,N82A2
146,Adelie,Dream,"Adult,2 Eggs",2009-11-13,4250.0,MALE,N83A1
147,Adelie,Dream,"Adult,2 Eggs",2009-11-13,3475.0,FEMALE,N83A2
148,Adelie,Dream,"Adult,3 Eggs",2009-11-17,3450.0,FEMALE,N84A1
149,Adelie,Dream,"Adult,2 Eggs",2009-11-17,3750.0,MALE,N84A2
150,Adelie,Dream,"Adult,2 Eggs",2009-11-17,3700.0,FEMALE,N85A1
151,Adelie,Dream,"Adult,1 Eggs",2009-11-17,4000.0,MALE,N85A2
196,Chinstrap,Dream,"Adult,1 Eggs",2009-11-17,3675.0,FEMALE,N86A1
197,Chinstrap,Dream,"Adult,2 Eggs",2009-11-17,4450.0,MALE,N86A2
198,Chinstrap,Dream,"Adult,1 Eggs",2009-11-27,3400.0,FEMALE,N87A1
199,Chinstrap,Dream,"Adult,2 Eggs",2009-11-27,4300.0,MALE,N87A2
200,Chinstrap,Dream,"Adult,3 Eggs",2009-11-23,3250.0,MALE,N88A1
201,Chinstrap,Dream,"Adult,2 Eggs",2009-11-23,3675.0,FEMALE,N88A2
202,Chinstrap,Dream,"Adult,2 Eggs",2009-11-21,3325.0,FEMALE,N90A1
203,Chinstrap,Dream,"Adult,2 Eggs",2009-11-21,3950.0,MALE,N90A2
204,Chinstrap,Dream,"Adult,2 Eggs",2009-11-23,3600.0,FEMALE,N92A1
205,Chinstrap,Dream,"Adult,2 Eggs",2009-11-23,4050.0,MALE,N92A2
206,Chinstrap,Dream,"Adult,2 Eggs",2009-11-27,3350.0,FEMALE,N93A1
207,Chinstrap,Dream,"Adult,2 Eggs",2009-11-27,3450.0,MALE,N93A2
208,Chinstrap,Dream,"Adult,2 Eggs",2009-11-21,3250.0,FEMALE,N94A1
209,Chinstrap,Dream,"Adult,2 Eggs",2009-11-21,4050.0,MALE,N94A2
210,Chinstrap,Dream,"Adult,2 Eggs",2009-11-21,3800.0,MALE,N95A1
211,Chinstrap,Dream,"Adult,2 Eggs",2009-11-21,3525.0,FEMALE,N95A2
212,Chinstrap,Dream,"Adult,2 Eggs",2009-11-27,3950.0,MALE,N96A1
213,Chinstrap,Dream,"Adult,3 Eggs",2009-11-27,3650.0,FEMALE,N96A2
214,Chinstrap,Dream,"Adult,2 Eggs",2009-11-19,3650.0,FEMALE,N98A1
215,Chinstrap,Dream,"Adult,2 Eggs",2009-11-19,4000.0,MALE,N98A2
216,Chinstrap,Dream,"Adult,2 Eggs",2009-11-21,3400.0,FEMALE,N99A1
217,Chinstrap,Dream,"Adult,1 Eggs",2009-11-21,3775.0,MALE,N99A2
218,Chinstrap,Dream,"Adult,2 Eggs",2009-11-21,4100.0,MALE,N100A1
219,Chinstrap,Dream,"Adult,2 Eggs",2009-11-21,3775.0,FEMALE,N100A2
300,Gentoo,Biscoe,"Adult,2 Eggs",2009-11-18,4625.0,FEMALE,N1A1
301,Gentoo,Biscoe,"Adult,2 Eggs",2009-11-18,5450.0,MALE,N1A2
302,Gentoo,Biscoe,"Adult,2 Eggs",2009-11-15,4725.0,FEMALE,N6A1
303,Gentoo,Biscoe,"Adult,1 Eggs",2009-11-15,5350.0,MALE,N6A2
304,Gentoo,Biscoe,"Adult,2 Eggs",2009-11-22,4750.0,FEMALE,N8A1
305,Gentoo,Biscoe,"Adult,1 Eggs",2009-11-22,5600.0,MALE,N8A2
306,Gentoo,Biscoe,"Adult,1 Eggs",2009-11-20,4600.0,FEMALE,N13A1
307,Gentoo,Biscoe,"Adult,2 Eggs",2009-11-20,5300.0,MALE,N13A2
308,Gentoo,Biscoe,"Adult,2 Eggs",2009-11-25,4875.0,FEMALE,N14A1
309,Gentoo,Biscoe,"Adult,2 Eggs",2009-11-25,5550.0,MALE,N14A2
310,Gentoo,Biscoe,"Adult,1 Eggs",2009-11-25,4950.0,FEMALE,N15A1
311,Gentoo,Biscoe,"Adult,3 Eggs",2009-11-25,5400.0,MALE,N15A2
312,Gentoo,Biscoe,"Adult,2 Eggs",2009-12-01,4750.0,FEMALE,N18A1
