,species,island,stage,date_egg,body_mass,sex,penguin_id
50,Adelie,Biscoe,"Adult,2 Eggs",2008-11-06,3500.0,FEMALE,N21A1
51,Adelie,Biscoe,"Adult,2 Eggs",2008-11-06,4300.0,MALE,N21A2
52,Adelie,Biscoe,"Adult,1 Eggs",2008-11-09,3450.0,FEMALE,N22A1
53,Adelie,Biscoe,"Adult,2 Eggs",2008-11-09,4050.0,MALE,N22A2
54,Adelie,Biscoe,"Adult,2 Eggs",2008-11-09,2900.0,FEMALE,N23A1
55,Adelie,Biscoe,"Adult,2 Eggs",2008-11-09,3700.0,MALE,N23A2
56,Adelie,Biscoe,"Adult,2 Eggs",2008-11-15,3550.0,FEMALE,N24A1
57,Adelie,Biscoe,"Adult,2 Eggs",2008-11-15,3800.0,MALE,N24A2
58,Adelie,Biscoe,"Adult,2 Eggs",2008-11-15,2850.0,FEMALE,N25A1
59,Adelie,Biscoe,"Adult,1 Eggs",2008-11-15,3750.0,MALE,N25A2
60,Adelie,Biscoe,"Adult,2 Eggs",2008-11-13,3150.0,FEMALE,N27A1
61,Adelie,Biscoe,"Adult,2 Eggs",2008-11-13,4400.0,MALE,N27A2
62,Adelie,Biscoe,"Adult,2 Eggs",2008-11-13,3600.0,FEMALE,N28A1
63,Adelie,Biscoe,"Adult,2 Eggs",2008-11-13,4050.0,MALE,N28A2
64,Adelie,Biscoe,"Adult,1 Eggs",2008-11-13,2850.0,FEMALE,N29A1
65,Adelie,Biscoe,"Adult,2 Eggs",2008-11-13,3950.0,MALE,N29A2
66,Adelie,Biscoe,"Adult,1 Eggs",2008-11-06,3350.0,FEMALE,N30A1
67,Adelie,Biscoe,"Adult,2 Eggs",2008-11-06,4100.0,MALE,N30A2
68,Adelie,Torgersen,"Adult,1 Eggs",2008-11-11,3050.0,FEMALE,N32A1
69,Adelie,Torgersen,"Adult,1 Eggs",2008-11-11,4450.0,MALE,N32A2
70,Adelie,Torgersen,"Adult,2 Eggs",2008-11-14,3600.0,FEMALE,N34A1
71,Adelie,Torgersen,"Adult,3 Eggs",2008-11-14,3900.0,MALE,N34A2
72,Adelie,Torgersen,"Adult,2 Eggs",2008-11-11,3550.0,FEMALE,N35A1
73,Adelie,Torgersen,"Adult,2 Eggs",2008-11-11,4150.0,MALE,N35A2
74,Adelie,Torgersen,"Adult,2 Eggs",2008-11-08,3700.0,FEMALE,N36A1
75,Adelie,Torgersen,"Adult,2 Eggs",2008-11-08,4250.0,MALE,N36A2
76,Adelie,Torgersen,"Adult,2 Eggs",2008-11-06,3700.0,FEMALE,N37A1
77,Adelie,Torgersen,"Adult,2 Eggs",2008-11-06,3900.0,MALE,N37A2
78,Adelie,Torgersen,"Adult,2 Eggs",2008-11-09,3550.0,FEMALE,N38A1
79,Adelie,Torgersen,"Adult,2 Eggs",2008-11-09,4000.0,MALE,N38A2
80,Adelie,Torgersen,"Adult,2 Eggs",2008-11-02,3200.0,FEMALE,N39A1
81,Adelie,Torgersen,"Adult,2 Eggs",2008-11-02,4700.0,MALE,N39A2
82,Adelie,Torgersen,"Adult,2 Eggs",2008-11-07,3800.0,FEMALE,N40A1
83,Adelie,Torgersen,"Adult,2 Eggs",2008-11-07,4200.0,MALE,N40A2
84,Adelie,Dream,"Adult,2 Eggs",2008-11-17,3350.0,FEMALE,N41A1
85,Adelie,Dream,"Adult,2 Eggs",2008-11-17,3550.0,MALE,N41A2
86,Adelie,Dream,"Adult,2 Eggs",2008-11-08,3800.0,MALE,N42A1
87,Adelie,Dream,"Adult,2 Eggs",2008-11-08,3500.0,FEMALE,N42A2
88,Adelie,Dream,"Adult,1 Eggs",2008-11-08,3950.0,MALE,N44A1
89,Adelie,Dream,"Adult,2 Eggs",2008-11-08,3600.0,FEMALE,N44A2
90,Adelie,Dream,"Adult,2 Eggs",2008-11-14,3550.0,FEMALE,N45A1
91,Adelie,Dream,"Adult,2 Eggs",2008-11-14,4300.0,MALE,N45A2
92,Adelie,Dream,"Adult,2 Eggs",2008-11-05,3400.0,FEMALE,N46A1
93,Adelie,Dream,"Adult,2 Eggs",2008-11-05,4450.0,MALE,N46A2
